date,gdp,unemp,ffr,infl,inv,cons,lab,lab_share,lab_prod,tfp,ff4,onrun10,ir_1,ir_2,ir_3,rr_1,rr_2,rr_3,rr_4,gk_var_1,gk_var_2,mp1_tc,ff4_tc,ed2_tc,ed3_tc,ed4_tc,ff1_vr,ff4_vr,ed2_vr,ff1_gkgreen,ff4_gkgreen,ed2_gkgreen,mar_raw,mar_svariv,ad,lpcom
1954.5,9.710873206,5.966666667,0.2575,0.001305349,8.266949732,9.074106359,17.55806496,4.735162825,3.383678145,2.987952086,,,,,,,,,,,,,,,,,,,,,,,,,,
1954.75,9.725377117,5.333333333,0.246666667,0.002742545,8.310683281,9.08292305,17.55523167,4.729306331,3.394877453,3.011605623,,,,,,,,,,,,,,,,,,,,,,,,,,
1955,9.749403537,4.733333333,0.335833333,0.004645134,8.39847632,9.087755024,17.56973976,4.712301134,3.414409713,2.991975225,,,,,,,,,,,,,,,,,,,,,,,,,,
1955.25,9.761520681,4.4,0.375,0.004148678,8.448476782,9.092090027,17.58069612,4.714006654,3.417825039,3.008401677,,,,,,,,,,,,,,,,,,,,,,,,,,
1955.5,9.770413198,4.1,0.485,0.006966313,8.472129715,9.093139367,17.59516227,4.717855807,3.421424755,3.027594247,,,,,,,,,,,,,,,,,,,,,,,,,,
1955.75,9.771554881,4.233333333,0.589166667,0.009858904,8.4805707,9.098210328,17.60406102,4.7207018,3.417792255,2.95647156,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,9.763535592,4.033333333,0.620833333,0.009960903,8.446767294,9.099947214,17.59221081,4.739010281,3.405687287,2.982773672,,,,,,,,,,,,,,,,,,,,,,,,,,
1956.25,9.767725102,4.2,0.673333333,0.005929262,8.428314326,9.102193088,17.59065647,4.747155741,3.41065254,3.061871076,,,,,,,,,,,,,,,,,,,,,,,,,,
1956.5,9.762154376,4.133333333,0.7025,0.012467931,8.418919505,9.098565998,17.59029628,4.749824489,3.410487429,3.036514267,,,,,,,,,,,,,,,,,,,,,,,,,,
1956.75,9.773492756,4.133333333,0.731666667,0.00401399,8.418697062,9.106013322,17.58449889,4.749997538,3.421098043,3.070027728,,,,,,,,,,,,,,,,,,,,,,,,,,
